"","",Afghanistan,Aland Islands,Albania,Algeria,Andorra,Angola,Anguilla,Anonymous Proxy,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia/Pacific Region,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Chile,China,Colombia,"Congo, The Democratic Republic of the",Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Europe,Faroe Islands,Fiji,Finland,France,French Polynesia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, Republic of",Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritius,Mexico,"Moldova, Republic of",Monaco,Mongolia,Montenegro,Morocco,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palestinian Territory,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russian Federation,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Satellite Provider,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Taiwan,Tajikistan,"Tanzania, United Republic of",Thailand,Timor-Leste,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British","Virgin Islands, U.S.",Zambia,Zimbabwe
2012-09-19,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,22,0,0,2,2,1,0,1,0,0,0,1,9,0,1,0,2,0,1,0,0,0,0,2,9,0,0,31,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,5,0,2,0,4,0,4,12,1,12,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,6,1,0,6,0,1,0,0,0,0,2,5,4,1,0,0,2,2,0,0,0,0,0,1,0,0,0,2,1,1,3,15,1,0,0,0,10,4,0,6,0,0,2,0,0,0,1,0,0,0,2,59,254,1,0,0,0,0,0,0,0
2012-09-20,1602,0,0,0,0,0,0,0,0,0,6,0,0,0,28,11,0,0,0,1,0,0,5,0,0,0,0,0,11,0,0,0,0,51,0,0,0,1,1,0,0,0,0,2,0,9,0,1,1,1,0,0,0,1,0,0,9,15,0,0,32,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,5,1,7,16,1,13,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,0,3,0,0,8,0,1,0,0,0,0,1,9,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,2,2,0,4,35,0,0,0,0,11,7,0,4,0,0,1,0,1,0,2,0,0,2,1,77,507,0,0,0,1,0,0,0,0
2012-09-21,1141,0,0,0,0,0,0,0,1,0,3,0,0,0,25,2,0,0,0,0,1,0,3,0,0,0,0,0,14,0,0,0,0,34,0,0,3,3,5,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,2,24,0,0,31,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,6,0,0,0,2,0,4,4,1,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,2,8,0,0,6,0,1,0,1,1,0,2,3,5,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,8,14,0,0,0,0,8,11,0,3,0,0,0,0,1,0,0,0,0,0,3,78,426,0,0,0,1,0,0,0,0
2012-09-22,759,0,0,1,0,0,0,0,0,0,3,0,0,0,10,2,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,12,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,0,6,0,6,7,0,4,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,17,0,0,0,0,3,7,0,0,0,0,0,0,0,0,1,0,1,0,4,35,310,0,0,1,0,0,0,0,0
2012-09-23,654,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,0,2,5,0,0,33,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,1,0,8,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,2,0,0,1,0,0,0,0,0,2,1,3,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,2,5,0,0,0,0,2,6,0,1,0,0,0,0,0,0,2,0,0,0,1,44,191,0,0,0,2,0,0,0,0
2012-09-24,875,0,0,0,1,1,0,0,0,0,4,0,0,0,31,5,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,31,0,0,2,0,3,0,0,0,3,0,5,10,0,0,0,2,0,0,0,1,0,0,2,25,0,0,35,2,0,1,0,0,0,0,0,0,0,1,0,5,0,1,6,0,0,0,6,1,10,13,0,9,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,3,0,0,6,0,0,0,1,0,0,4,2,5,0,1,0,1,6,0,0,0,0,0,0,0,0,0,5,0,0,4,18,0,0,0,0,6,9,0,2,0,0,1,0,0,0,1,0,0,1,1,76,350,0,0,1,1,0,0,0,0
2012-09-25,1044,0,0,0,0,0,0,0,0,1,4,0,0,0,24,2,0,0,0,1,0,0,2,0,0,0,0,0,8,0,0,1,0,54,0,0,6,0,5,0,1,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,18,0,0,27,0,0,0,0,0,0,1,0,0,1,0,0,6,2,0,5,2,0,0,6,0,7,10,0,5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,11,0,0,0,0,0,0,0,0,18,0,6,0,0,10,0,2,0,0,0,0,5,1,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,8,32,0,0,0,0,12,4,0,3,0,0,3,0,0,0,0,0,0,2,2,79,518,0,0,0,1,0,0,0,0
2012-09-26,952,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,1,0,1,0,4,0,0,0,0,0,11,0,1,0,0,39,1,0,2,1,4,0,0,0,0,0,0,15,0,0,1,2,0,1,1,0,0,1,1,17,0,0,45,1,0,4,0,0,0,0,0,1,0,0,0,3,0,0,4,1,1,0,7,1,4,4,0,8,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,3,1,0,1,0,0,3,0,1,0,0,1,0,0,0,12,0,7,1,1,8,0,0,0,0,0,2,0,5,3,1,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,6,20,0,0,0,0,12,10,0,3,0,0,2,0,1,0,1,0,0,0,1,78,458,1,0,1,1,0,0,1,0
2012-09-27,955,0,2,0,0,0,0,0,0,0,2,1,0,0,39,5,0,0,1,1,0,0,4,0,0,0,0,0,7,0,1,1,0,48,0,0,5,1,7,0,3,0,0,0,2,6,0,0,1,0,0,0,0,1,0,0,1,22,0,0,26,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,4,2,0,0,5,0,9,5,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,2,0,0,0,14,0,2,0,1,3,0,1,0,1,0,1,2,1,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,4,0,0,4,13,1,0,0,0,15,6,0,4,0,0,0,0,0,0,2,0,0,0,4,82,483,1,0,0,1,0,0,0,0
2012-09-28,920,0,0,0,0,0,0,0,0,0,5,0,0,0,27,6,0,2,0,0,0,0,4,0,0,0,0,0,8,0,0,2,0,46,0,0,0,4,3,0,1,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,2,22,0,1,29,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,6,0,0,0,6,0,2,7,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,1,0,0,0,13,0,1,0,0,5,0,0,0,0,0,0,3,1,3,1,0,0,0,5,0,0,0,0,0,0,0,1,0,6,0,0,6,24,0,0,0,0,7,8,0,4,0,0,3,0,0,0,1,0,0,0,1,79,405,0,0,1,0,0,0,0,0
2012-09-29,776,0,0,0,0,0,0,0,0,0,3,0,0,0,11,2,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,24,0,0,5,3,3,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,12,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,9,0,0,0,1,1,4,4,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,8,0,3,0,0,2,1,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,15,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,42,290,0,0,0,2,0,0,0,0
2012-09-30,608,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,0,24,0,0,1,1,4,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,5,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,3,0,6,6,0,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,2,0,2,0,2,3,1,1,0,0,4,0,0,0,0,0,1,0,1,0,4,0,0,1,7,1,0,0,0,4,5,0,1,0,0,5,0,0,0,2,0,0,0,2,36,192,0,0,0,0,0,0,0,0
2012-10-01,934,0,0,0,0,0,0,0,0,0,1,0,0,0,24,3,0,0,0,1,0,1,4,0,1,0,0,0,8,0,0,0,0,38,0,0,1,0,5,0,0,0,1,1,2,5,0,0,0,0,0,1,0,1,0,0,1,21,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,5,0,4,6,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,15,1,4,0,0,5,0,0,0,0,1,0,2,5,6,0,0,0,1,3,0,0,0,0,0,1,1,1,0,6,0,1,8,17,0,0,2,0,10,12,0,1,0,1,2,0,0,0,2,0,0,0,2,70,331,0,0,0,1,0,0,0,0
2012-10-02,1048,0,0,0,0,0,0,0,0,0,3,0,0,0,36,6,0,0,0,0,0,0,6,0,0,0,0,0,9,0,1,0,0,43,0,0,3,2,3,0,2,0,2,1,0,13,0,0,0,1,1,1,0,0,0,0,3,21,0,0,46,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,9,0,2,0,5,0,7,7,1,5,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9,0,0,0,0,0,0,0,0,21,0,2,0,0,9,0,0,0,2,0,0,1,1,3,0,0,0,3,5,0,0,0,0,0,1,0,0,1,2,0,0,10,33,1,0,0,0,16,12,0,4,0,1,2,0,0,0,1,0,1,1,0,84,492,0,0,1,0,0,0,0,0
2012-10-03,1167,0,0,0,0,0,0,0,0,0,5,0,0,0,34,3,0,0,1,0,0,0,3,1,0,0,0,0,16,0,1,0,0,42,0,0,2,2,6,0,2,0,1,0,5,7,0,0,0,0,0,1,0,0,0,0,3,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,3,0,7,5,0,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,2,0,0,1,11,0,6,1,0,8,0,1,0,2,0,1,0,2,6,1,0,0,2,1,0,0,0,0,0,1,0,0,0,7,1,0,6,55,1,0,0,0,8,8,0,5,0,0,1,0,0,0,1,0,0,3,2,76,462,0,0,1,1,0,0,0,0
2012-10-04,996,0,0,0,0,0,0,0,0,0,2,0,0,0,31,4,0,0,1,1,0,0,6,0,0,0,0,0,9,0,0,0,0,43,0,0,4,3,2,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,12,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2,3,2,0,0,5,0,4,10,0,10,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,6,0,0,1,0,0,0,2,0,2,1,2,5,0,1,0,0,5,0,0,0,0,0,2,0,0,0,1,0,0,6,23,1,0,0,0,10,10,0,0,0,0,2,0,0,0,3,0,1,0,0,62,385,0,0,0,0,0,0,0,0
2012-10-05,942,0,0,0,0,0,0,0,0,0,5,0,0,0,26,4,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,39,0,0,3,0,2,1,1,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,3,20,0,0,29,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,4,1,4,10,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,9,0,5,1,0,3,0,0,0,0,0,0,5,0,3,1,0,0,2,1,0,0,0,0,0,2,1,1,0,4,0,0,6,25,0,0,0,0,10,3,0,1,0,0,1,0,1,0,4,0,0,0,0,77,401,0,0,0,0,0,0,1,0
2012-10-06,773,0,0,1,0,0,0,0,0,0,4,0,0,0,6,1,0,0,0,0,0,0,4,1,0,0,0,0,4,0,2,0,0,27,0,0,1,3,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,13,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,4,0,0,0,2,0,1,9,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,4,0,1,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,1,0,1,0,3,0,0,1,16,0,0,0,0,2,4,0,2,0,0,1,0,0,0,5,0,0,1,1,46,262,0,0,1,0,0,0,0,0
2012-10-07,640,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,18,0,0,0,4,2,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,12,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,6,1,0,0,4,0,9,3,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,3,0,0,1,2,0,0,0,0,2,6,0,2,0,0,0,0,0,0,1,0,0,3,0,27,154,1,0,0,0,0,0,0,0
2012-10-08,823,0,0,0,0,0,0,0,0,0,2,0,0,0,20,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,11,0,0,4,4,1,0,1,0,0,1,1,6,0,0,0,1,0,1,1,0,0,0,2,17,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,3,0,0,0,6,0,3,6,0,5,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,2,0,0,3,1,1,0,2,0,3,0,2,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,9,20,0,0,0,0,11,9,0,2,0,1,1,0,0,0,1,0,0,2,4,94,286,0,0,0,0,0,0,0,0
2012-10-09,1030,0,0,0,0,0,0,0,1,0,3,0,0,0,25,5,0,0,0,1,0,0,6,0,0,0,0,0,5,0,0,1,0,32,0,0,4,1,3,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1,0,0,2,21,0,1,28,1,0,1,0,0,0,0,0,0,0,0,0,4,2,0,9,1,0,0,4,0,14,11,0,6,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,9,0,6,0,0,7,0,0,0,4,0,0,1,3,4,1,2,0,5,6,0,0,0,0,0,1,0,2,0,3,0,0,3,24,0,0,0,0,7,9,0,2,0,0,1,0,0,0,2,0,0,1,1,69,397,0,0,0,1,0,0,0,0
2012-10-10,989,0,0,0,0,0,0,1,0,0,4,0,0,0,23,4,0,0,0,1,0,0,6,0,0,0,1,0,10,0,1,0,0,57,0,0,3,3,1,0,0,0,2,1,2,9,0,0,0,0,0,0,0,0,0,0,3,25,0,0,29,0,0,1,0,0,0,1,1,0,1,0,0,5,1,0,8,0,0,0,4,0,14,9,0,12,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,10,0,0,0,0,0,0,0,1,11,0,7,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,3,0,0,6,26,1,0,0,0,17,11,0,4,0,1,7,0,1,1,1,0,0,1,1,73,443,1,0,1,0,0,0,0,0
2012-10-11,995,0,0,0,0,0,0,0,0,0,3,0,0,0,38,3,0,0,0,0,0,0,8,0,2,0,0,0,7,0,1,0,0,51,0,0,2,2,1,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,1,28,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,7,1,0,0,8,0,10,10,0,7,0,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,14,0,4,0,1,6,0,0,0,1,0,0,0,1,4,1,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,1,5,20,0,0,0,0,5,9,0,2,0,0,3,0,0,0,1,0,0,1,0,79,399,0,0,0,1,0,0,0,0
2012-10-12,1070,0,0,0,0,0,0,0,0,0,6,0,0,1,26,3,1,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,54,0,0,1,0,4,0,1,0,0,0,1,9,1,1,0,1,0,1,0,1,0,0,3,17,0,0,39,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,0,6,0,9,12,0,7,0,0,1,0,3,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,9,0,0,1,0,0,0,0,0,13,0,8,0,0,9,0,2,0,0,0,0,3,0,1,0,1,0,0,4,0,0,0,0,0,2,0,1,0,2,1,0,6,14,1,0,0,0,9,7,0,2,0,0,1,0,0,1,0,0,0,1,2,64,350,0,0,1,1,0,0,0,0
2012-10-13,837,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,2,0,0,1,0,1,0,0,0,5,0,0,1,0,32,0,0,0,0,2,0,2,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,9,0,0,13,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,1,0,6,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,7,1,6,1,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,5,6,1,0,0,0,2,2,0,1,0,1,0,0,0,0,2,0,0,0,0,45,249,0,0,0,0,0,0,0,0
