"","",Afghanistan,Aland Islands,Albania,Algeria,Andorra,Angola,Anguilla,Anonymous Proxy,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia/Pacific Region,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Chile,China,Colombia,"Congo, The Democratic Republic of the",Costa Rica,Cote d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Europe,Faroe Islands,Fiji,Finland,France,French Polynesia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, Republic of",Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritius,Mexico,"Moldova, Republic of",Monaco,Mongolia,Montenegro,Morocco,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palestinian Territory,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russian Federation,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Satellite Provider,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Taiwan,Tajikistan,"Tanzania, United Republic of",Thailand,Timor-Leste,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British","Virgin Islands, U.S.",Zambia,Zimbabwe
2012-10-14,667,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,14,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,26,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,5,0,0,0,1,0,11,6,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,2,4,0,2,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,12,0,1,0,0,5,5,0,2,0,0,1,0,0,0,0,0,0,0,0,35,176,0,0,0,1,0,0,0,0
2012-10-15,917,0,0,0,0,0,0,0,1,0,3,1,0,0,28,1,0,2,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,34,0,0,3,3,1,1,0,0,0,0,1,5,0,0,0,1,0,2,0,0,0,0,1,20,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,6,1,1,0,4,0,6,6,0,8,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,14,1,8,0,0,1,0,3,0,0,0,0,0,2,1,0,1,0,2,3,0,0,0,0,0,2,0,0,0,2,0,1,5,19,0,0,0,0,10,8,0,3,0,0,2,0,0,0,0,0,0,0,2,78,299,0,0,1,0,0,0,0,0
2012-10-16,1406,0,0,0,0,0,1,0,1,1,5,0,0,0,42,14,0,0,0,0,0,1,18,0,0,0,0,0,31,0,0,0,0,95,0,0,11,4,5,0,6,0,0,1,5,43,0,0,0,1,0,2,0,1,0,0,4,29,0,1,120,0,0,1,0,2,0,0,2,0,0,0,0,8,8,3,11,1,0,0,8,0,25,26,0,11,0,0,0,1,8,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,6,1,0,0,0,1,0,0,0,72,1,6,0,0,12,1,0,1,0,0,0,8,6,94,1,2,0,0,6,0,0,0,0,0,1,0,1,0,72,2,0,4,43,0,0,0,0,20,6,0,25,0,0,3,0,0,0,1,0,0,0,2,115,621,2,0,1,2,0,0,0,0
2012-10-17,1331,0,0,0,0,1,0,0,0,0,3,1,0,0,37,19,0,0,0,0,0,1,10,0,0,0,0,0,58,0,0,0,0,57,0,0,10,7,9,0,4,0,0,1,9,33,0,1,0,0,0,0,0,1,0,0,3,20,0,0,169,0,1,3,0,1,0,0,0,0,0,0,0,8,3,2,11,0,0,0,7,1,19,31,0,13,0,1,0,0,9,1,1,0,0,0,1,0,1,0,0,0,5,0,0,5,0,0,6,0,0,0,0,1,0,0,0,40,0,4,0,0,17,0,1,0,0,0,2,8,6,55,2,0,0,4,4,0,0,0,0,0,2,0,1,0,32,2,1,4,73,0,0,0,0,38,12,0,20,0,0,1,0,2,1,8,0,0,3,3,91,465,0,0,2,0,0,0,0,1
2012-10-18,1064,0,0,0,0,0,0,0,0,0,6,0,0,0,47,18,0,0,0,0,0,0,12,0,1,0,0,0,25,0,0,0,0,57,0,1,9,3,5,0,3,0,1,0,5,20,0,0,2,1,0,1,0,1,0,0,6,18,0,0,114,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,5,1,0,0,3,0,23,29,0,12,0,0,0,2,10,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,10,0,0,1,1,1,0,0,0,32,0,4,0,0,6,0,2,0,0,0,1,4,6,16,0,2,0,4,4,0,0,0,0,0,0,0,0,0,20,0,0,8,53,0,0,0,0,14,10,0,13,0,0,3,0,0,0,3,0,0,3,3,74,419,1,0,2,0,0,0,0,0
2012-10-19,977,0,0,0,0,0,0,0,0,0,3,0,0,0,31,11,0,0,0,0,0,0,10,0,0,0,0,0,18,0,3,0,0,47,0,0,12,1,4,0,1,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,3,17,0,0,79,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,9,1,0,0,3,0,7,13,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,21,0,4,0,0,3,0,1,0,0,0,1,0,5,13,1,0,0,0,2,0,0,0,0,0,1,0,2,0,8,0,1,8,33,1,0,0,0,16,11,0,8,0,0,1,0,0,0,4,0,0,1,1,84,424,0,0,0,0,0,0,0,0
2012-10-20,768,0,0,0,0,0,0,0,0,0,1,0,0,0,13,5,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,19,0,0,2,3,7,0,2,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,14,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,5,16,1,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,10,0,1,0,0,2,0,0,0,0,0,2,5,1,4,0,0,0,0,3,0,0,0,0,0,3,0,1,0,7,0,1,2,23,0,0,0,0,5,2,0,8,0,0,1,0,0,0,1,0,0,1,2,47,221,0,0,0,0,0,0,0,0
2012-10-21,746,0,0,0,0,0,0,0,0,0,1,0,0,0,13,3,0,0,0,0,0,0,8,0,0,0,0,0,8,0,1,0,0,30,0,0,4,2,1,0,1,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,20,0,0,36,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,2,0,8,6,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,2,0,0,2,0,0,0,0,0,0,2,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,3,18,0,0,0,0,7,7,0,4,0,0,1,0,1,0,3,0,0,0,2,39,165,0,0,2,0,0,0,0,0
2012-10-22,903,0,0,0,0,0,0,0,0,0,7,0,0,0,35,9,0,0,0,0,0,0,9,0,0,0,0,0,10,0,1,0,0,46,0,0,3,4,3,0,0,0,0,0,2,18,0,1,0,0,0,0,0,0,0,0,2,27,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,1,4,0,12,18,0,9,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,1,0,0,19,0,2,0,0,5,0,0,0,1,0,1,2,4,6,1,0,0,4,10,1,0,0,0,0,1,0,1,0,10,1,0,6,26,1,0,0,0,16,15,0,8,0,0,1,0,0,0,2,0,0,1,4,91,305,0,0,1,2,0,0,0,0
2012-10-23,1135,0,0,0,0,0,0,0,0,0,4,0,0,0,34,2,0,0,0,0,0,2,5,0,0,0,0,0,11,0,0,0,0,70,0,0,2,2,3,0,0,0,0,0,4,16,0,1,0,0,0,0,0,0,0,0,3,25,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,1,0,0,4,0,17,10,1,6,0,0,0,1,4,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,26,0,6,0,1,13,0,0,0,1,0,1,3,2,10,2,1,0,1,3,0,0,0,0,0,1,0,0,0,12,3,0,4,31,2,0,0,0,14,6,0,6,1,0,7,0,1,0,1,0,0,2,2,89,503,0,0,1,3,0,0,0,0
2012-10-24,996,0,0,0,0,0,0,0,0,0,7,0,0,0,33,4,0,0,0,3,0,0,5,0,0,1,0,0,12,0,1,0,0,46,0,0,2,0,3,0,1,0,2,2,3,19,0,0,2,3,0,0,0,0,0,0,2,20,0,1,69,0,0,1,0,0,0,0,1,0,0,0,0,7,1,0,4,0,0,0,2,0,10,20,0,13,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,25,0,9,1,0,11,0,0,1,0,0,1,2,5,5,2,0,0,0,6,0,0,0,0,0,1,0,0,0,8,0,1,3,37,0,0,0,0,15,6,0,6,0,0,5,0,0,0,0,0,0,4,1,94,451,0,0,0,1,0,1,0,0
2012-10-25,939,0,0,0,0,0,0,0,0,0,4,0,0,0,32,9,0,0,0,0,0,0,9,1,0,0,0,0,11,0,0,0,0,43,0,0,3,2,6,0,2,0,0,1,3,9,0,0,0,0,0,3,0,0,0,0,2,22,0,0,67,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,4,2,0,0,6,0,12,8,2,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,1,0,0,0,0,0,0,12,0,3,1,1,7,0,0,1,0,0,1,0,3,9,0,0,0,0,10,0,0,0,0,0,1,0,1,0,4,0,0,3,24,0,0,0,0,6,5,0,10,0,0,1,0,0,1,1,0,0,2,2,67,398,0,0,0,0,0,0,0,0
2012-10-26,920,0,0,0,0,0,0,0,0,0,2,0,0,0,32,9,0,0,0,0,0,0,7,0,1,1,0,0,12,0,0,0,0,51,0,0,6,2,6,0,5,0,0,1,0,14,0,1,0,1,0,0,0,2,0,0,3,34,0,0,49,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,7,1,0,0,6,0,8,11,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,1,5,0,0,5,0,0,0,0,0,0,3,1,6,0,0,0,1,4,0,1,0,0,0,1,0,0,0,1,1,0,3,37,0,0,0,0,9,8,0,6,0,0,0,0,0,0,2,0,0,5,0,82,460,0,0,1,1,0,0,0,0
2012-10-27,772,0,0,0,0,0,0,0,0,0,2,0,0,0,15,2,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,33,0,0,3,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,3,18,0,0,33,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,5,0,1,0,2,0,7,4,0,6,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,3,0,0,2,0,0,0,0,0,0,1,3,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,5,1,0,2,11,0,0,0,0,3,11,0,9,0,0,2,0,0,0,1,0,0,2,1,45,270,0,0,0,0,0,1,0,0
2012-10-28,640,0,1,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,1,0,29,0,0,1,3,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,0,2,0,16,5,1,7,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,10,0,5,0,0,6,0,0,0,0,0,0,1,5,3,1,0,0,3,2,0,0,0,0,0,2,0,1,0,3,0,0,5,10,0,0,0,0,4,4,0,3,0,0,1,0,0,0,1,0,0,0,1,42,185,0,0,0,1,0,0,0,0
2012-10-29,808,0,0,0,0,0,0,0,0,0,4,0,0,0,28,9,0,0,0,0,0,0,4,0,0,0,0,0,10,1,0,0,0,33,0,0,2,3,5,1,0,0,0,2,2,14,0,0,1,0,0,0,0,0,0,0,0,14,0,0,59,0,0,2,0,0,0,0,0,0,0,0,0,6,1,0,7,1,0,0,1,0,16,15,0,12,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,8,1,0,0,0,0,0,0,0,19,0,4,0,0,12,0,2,0,0,1,0,2,4,6,0,0,1,0,7,0,0,0,0,0,0,0,0,0,12,1,1,4,20,0,0,0,0,10,11,0,3,0,0,2,0,0,0,3,0,0,5,1,73,301,0,0,2,2,0,0,0,0
2012-10-30,980,0,1,0,0,0,0,0,1,0,4,0,0,0,32,3,0,0,0,1,0,0,7,0,0,0,0,0,17,0,1,1,0,58,0,0,5,6,1,0,1,0,1,1,1,14,0,1,1,0,0,2,0,0,0,0,2,14,0,0,78,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,6,4,1,0,6,0,8,9,0,19,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,1,0,0,0,0,1,0,19,0,9,0,0,3,0,0,0,0,0,0,6,4,4,0,0,0,1,8,0,0,0,0,0,0,0,0,0,3,0,0,6,34,1,0,0,0,16,11,0,4,0,0,1,1,0,0,0,0,0,3,1,88,461,3,0,1,2,0,0,0,0
2012-10-31,943,1,0,0,0,0,0,0,0,0,7,0,0,0,27,6,0,0,1,0,0,0,4,0,0,0,0,0,11,0,0,0,0,46,0,0,1,2,2,1,1,0,0,0,2,13,0,0,0,1,0,1,0,0,0,0,0,28,0,0,63,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,6,1,0,0,3,0,14,11,0,13,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,20,0,5,0,0,11,0,2,0,0,0,0,1,2,12,1,0,0,1,5,0,0,0,0,0,3,0,0,0,8,0,0,3,16,0,0,0,0,13,16,0,3,0,0,1,0,0,1,2,0,0,2,1,91,425,0,0,1,1,0,0,0,0
2012-11-01,821,0,0,0,0,0,0,0,0,0,3,0,0,0,28,7,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,44,0,0,1,0,2,0,1,0,2,2,0,10,0,2,0,0,0,0,0,0,0,0,2,8,1,0,59,0,0,1,0,0,0,0,0,0,0,0,0,5,4,3,2,3,0,0,6,0,19,9,0,6,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,1,0,0,0,19,0,7,0,0,3,0,3,0,0,0,0,4,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,13,18,0,0,0,0,10,7,0,7,0,0,3,0,0,0,4,0,0,1,1,66,443,2,0,2,2,0,0,0,1
2012-11-02,873,0,0,0,0,0,0,0,0,0,4,0,0,0,18,5,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,44,0,0,4,2,3,0,1,0,2,0,1,16,0,0,0,0,0,0,0,0,0,0,1,12,0,0,55,0,0,1,0,0,0,1,0,0,0,0,0,4,2,0,9,2,0,0,3,0,9,8,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,1,11,0,5,1,0,7,0,0,0,1,0,2,6,3,6,0,1,0,1,10,0,0,0,0,0,2,0,1,0,2,0,0,6,20,1,0,0,0,12,9,0,5,0,0,3,0,1,0,2,0,0,1,3,68,407,2,0,0,0,0,0,0,0
2012-11-03,711,0,0,0,0,0,0,0,0,0,3,0,0,0,10,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,33,0,0,1,0,1,0,2,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,1,10,0,0,39,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,4,1,1,0,2,0,6,7,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,5,0,0,2,0,1,0,0,0,0,2,2,1,0,0,0,0,5,0,0,0,0,2,2,0,0,0,3,0,1,2,17,0,0,0,0,3,7,0,1,0,0,2,0,0,0,3,0,0,0,1,42,310,0,0,1,0,0,0,0,0
2012-11-04,572,0,0,0,0,0,0,0,0,1,2,0,0,0,12,3,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,25,0,0,2,2,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,4,13,1,0,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,2,0,7,4,0,9,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,7,0,0,5,0,0,0,0,0,3,2,3,5,2,0,0,0,3,0,0,0,0,0,1,0,0,0,6,2,0,4,12,0,0,0,0,4,4,0,3,0,0,0,0,0,0,2,0,0,0,3,37,177,0,0,0,1,0,0,0,0
2012-11-05,753,0,0,0,0,0,0,0,1,0,1,0,0,0,49,5,0,0,0,0,0,0,10,0,1,0,0,1,6,0,0,0,0,27,0,1,0,4,5,0,1,0,2,0,2,4,0,0,1,0,0,1,0,0,0,0,1,19,0,0,50,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,3,0,12,5,0,9,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,15,0,7,0,0,8,0,0,0,0,0,2,2,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,1,0,8,17,0,0,0,0,7,6,0,3,0,0,2,0,0,0,2,0,0,2,3,58,257,0,0,0,1,0,1,0,0
2012-11-06,921,0,0,0,0,0,0,0,0,0,3,0,0,1,28,12,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,57,0,0,5,1,1,0,0,0,0,0,2,8,0,0,0,1,0,0,0,1,0,0,3,30,1,0,42,1,0,2,0,0,0,0,0,0,0,0,0,5,2,0,4,0,0,0,7,0,7,8,0,11,2,1,0,1,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,6,0,0,3,0,0,0,0,0,15,0,9,1,1,2,1,0,0,0,0,2,1,5,8,1,4,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,8,38,0,0,0,0,9,13,0,2,0,1,3,0,0,0,4,0,0,1,2,95,495,0,0,0,0,0,0,0,0
2012-11-07,920,0,0,0,0,0,0,0,0,0,4,0,1,0,33,4,0,0,0,0,0,1,5,0,0,0,0,0,7,0,1,0,0,45,0,0,2,2,2,0,0,0,0,2,3,9,0,0,1,0,0,1,0,1,0,0,1,21,0,0,63,1,0,2,0,0,0,0,2,0,0,0,0,2,1,0,4,2,0,0,4,0,11,9,0,9,0,1,0,4,4,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,19,0,8,0,1,6,0,2,0,0,0,2,4,2,9,1,0,0,1,2,0,0,0,0,0,1,0,1,0,7,2,0,5,31,1,0,0,0,15,7,0,4,0,0,0,0,0,0,3,0,1,0,1,73,417,0,0,0,0,0,0,0,0
2012-11-08,930,0,0,0,0,0,0,0,0,0,5,0,0,0,35,4,0,0,0,1,0,0,13,0,0,0,0,0,14,0,0,0,0,48,0,0,3,2,8,0,2,0,0,0,2,14,0,1,0,1,0,0,0,0,0,0,3,30,0,0,74,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,9,3,0,1,6,0,12,11,1,10,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,18,0,5,0,0,3,0,2,0,0,0,1,3,2,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,2,12,19,0,0,0,0,16,10,0,7,0,0,1,0,1,0,1,1,1,2,0,92,433,0,0,1,0,0,0,0,0
2012-11-09,894,0,0,0,0,0,0,0,0,0,6,0,0,0,31,7,0,0,0,0,0,0,5,0,0,0,0,0,16,0,0,0,0,55,0,0,3,3,2,0,1,0,0,0,0,13,0,1,1,0,1,2,0,2,0,0,5,22,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,6,0,0,2,10,0,9,11,1,14,0,0,0,1,2,1,0,0,0,1,1,1,1,1,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,1,0,0,0,6,0,1,0,0,0,0,3,4,5,1,2,0,2,6,0,0,0,0,0,1,0,1,0,5,1,0,5,21,0,0,0,0,14,4,0,4,0,0,2,0,0,0,2,0,0,2,0,80,439,0,0,0,2,0,0,0,0
2012-11-10,777,0,0,0,0,0,0,0,0,0,4,0,0,0,13,2,0,0,0,1,0,1,6,0,0,0,0,0,6,0,0,0,0,34,0,0,1,3,4,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,3,14,0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,1,6,1,10,7,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,1,0,0,6,0,0,0,0,0,0,2,3,5,2,0,0,0,5,0,0,0,0,0,2,0,1,0,5,0,0,2,11,0,0,0,0,4,8,0,2,0,0,1,0,0,0,3,0,0,2,1,48,343,0,0,3,1,0,0,0,0
2012-11-11,618,0,0,1,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,0,0,0,2,0,0,0,2,0,8,0,0,0,0,23,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,8,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,2,1,0,3,0,12,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,3,0,0,8,0,2,0,0,2,0,3,0,4,0,0,0,2,5,0,0,0,0,0,3,0,0,0,5,0,0,3,21,0,0,0,0,8,5,0,7,0,0,1,0,1,0,3,0,0,1,5,33,191,0,0,0,0,0,0,0,0
2012-11-12,878,0,0,0,0,0,0,0,0,0,4,0,0,0,29,5,0,0,0,1,0,1,7,0,1,1,0,0,4,0,0,0,0,35,0,0,1,1,1,0,0,0,0,1,3,13,0,0,1,1,0,1,0,0,0,0,3,25,0,0,53,0,0,2,0,0,1,0,0,0,0,0,0,5,1,0,9,3,0,0,4,0,16,16,0,14,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,10,1,0,0,0,0,0,0,0,25,0,4,0,0,8,0,0,0,0,1,0,1,3,8,0,0,0,1,7,0,1,0,0,0,0,0,0,0,8,0,1,4,28,0,0,1,1,9,9,0,3,0,0,2,0,0,0,2,0,0,1,2,105,318,1,0,0,0,0,0,0,0
